time,wx,wy,wz,ax,ay,az,Bx,By,Bz
 112,-13,-6,2,-55,-192,4036,7,-12,-88
 113,-14,-5,3,-47,-199,4061,4,-2,-90
 114,-16,-6,3,-41,-198,4075,13,-2,-73
 115,-15,-6,3,-58,-198,4057,5,2,-82
 116,-16,-5,3,-37,-186,4042,1,0,-72
 117,-15,-5,2,-55,-189,4066,-4,18,-55
 118,-14,-5,3,-48,-172,4089,2,13,-76
 119,-14,-5,2,-47,-193,4040,-1,-3,-85
 120,-14,-6,1,-38,-178,4063,-13,-10,-95
 121,-16,-5,1,-43,-188,4057,0,-6,-71
 122,-16,-4,3,-47,-190,4078,-9,7,-109
 123,-14,-5,1,-45,-197,4072,11,-6,-92
 124,-14,-7,3,-48,-186,4084,-4,-28,-105
 125,-16,-7,2,-58,-200,4065,-1,-12,-91
 126,-15,-5,3,-66,-195,4055,-3,-13,-96
 127,-13,-5,2,-40,-184,4046,11,-16,-74
 128,-14,-6,3,-35,-188,4080,12,7,-87
 129,-13,-5,3,-61,-197,4058,-6,-3,-27
 130,-16,-6,2,-53,-192,4069,-1,-35,-83
 131,-15,-7,3,-42,-187,4040,-12,-3,-68
 132,-17,-8,1,-36,-195,4048,-5,-8,-81
 133,-14,-6,1,-50,-182,4055,-6,-5,-67
 134,-13,-6,2,-51,-190,4037,-6,-10,-85
 135,-15,-7,3,-44,-196,4052,6,-21,-65
 136,-15,-5,3,-57,-176,4040,-13,-6,-89
 137,-14,-4,1,-53,-184,4048,-8,-4,-58
 138,-15,-6,2,-53,-177,4072,7,17,-76
 139,-16,-6,3,-47,-168,4054,-7,2,-88
 140,-14,-5,2,-49,-185,4089,16,-3,-91
 141,-14,-5,2,-55,-196,4076,-9,0,-70
 142,-13,-4,3,-52,-193,4079,-11,-1,-95
 143,-15,-6,2,-52,-188,4044,-3,-5,-85
 144,-14,-7,3,-49,-201,4091,13,-3,-97
 145,-14,-4,2,-53,-185,4079,14,-8,-101
 146,-14,-4,2,-49,-200,4047,8,-13,-85
 147,-14,-5,3,-56,-197,4034,-2,-17,-66
 148,-16,-4,1,-65,-198,4042,35,-5,-81
 149,-13,-6,3,-78,-201,4056,-4,-21,-87
 150,-12,-7,2,-60,-200,4063,-5,-26,-87
 151,-15,-4,3,-60,-189,4052,23,-15,-82
 152,-13,-5,3,-52,-184,4074,8,8,-61
 153,-14,-5,3,-51,-194,4063,11,-12,-88
 154,-17,-6,1,-42,-193,4057,8,9,-87
 155,-16,-6,3,-48,-195,4069,7,3,-73
 156,-15,-4,3,-56,-206,4050,5,-11,-78
 157,-16,-4,2,-50,-195,4054,-2,-18,-58
 158,-14,-6,4,-61,-191,4062,7,-29,-78
 159,-13,-5,3,-41,-194,4061,2,0,-89
 160,-14,-6,2,-53,-190,4076,3,-14,-63
 161,-15,-5,3,-55,-187,4084,4,-10,-91
 162,-14,-6,4,-40,-186,4082,13,-10,-86
 163,-15,-5,3,-58,-199,4070,0,-9,-61
 164,-14,-6,2,-64,-195,4054,18,0,-71
 165,-12,-6,2,-57,-197,4077,19,16,-68
 166,-13,-6,3,-54,-194,4042,10,-6,-79
 167,-13,-4,3,-43,-202,4065,-2,0,-76
 168,-15,-5,4,-53,-198,4068,-11,12,-69
